Text,is_rule,ID,metadata
"The building shall be constructed so that the combined dead,imposed and wind loads are sustained and transmitted by it to the ground: (a) safely; and (b) without causing such deflection or deformation of any part of the building, or such movement of the ground, as will impair the stability of any part of another building.",1,1_UK_DocA_Structure,
In assessing whether a building complies with subparagraph (1) regard shall be had to the imposed and wind loads to which it is likely to be subjected in the ordinary course of its use for the purposefor which it is intended.,0,2_UK_DocA_Structure,
"The building shall be constructed so that ground movement caused by: (a) swelling, shrinkage or freezing of the subsoil; or (b) land-slip or subsidence (other than subsidence arising from shrinkage), in so far as the risk can be reasonably foreseen,will not impair the stability of any part of the building.",1,3_UK_DocA_Structure,
The design should be based on identification of the hazards to which the structure is likely to be subjected and assessment of the risks.,0,4_UK_DocA_Structure,
The selection of relevant critical situations for design should be made reflecting the conditions that can reasonably be foreseen during future use.,1,5_UK_DocA_Structure,
"Dead load, imposed load and wind load should be in accordance with the current Codes of practice referred to in Section 1 of this document.",0,6_UK_DocA_Structure,
"The numeric values of safety factors, whether expressed explicitly or implicitly in design equations, or design values, should be derived from considerations of the above aspects ofdesign and construction as a whole.",0,7_UK_DocA_Structure,
Such conditions should betaken into account in the design of the buildingand its foundations.,0,8_UK_DocA_Structure,
Note: With reference to design checks in the referenced Institution of Structural Engineers Technical Publication the choice of various partialfactors should be made to suit the individual circumstances of each case.,0,9_UK_DocA_Structure,
Section 2C.,0,10_UK_DocA_Structure,
"Thickness of masonry walls in certain residential buildings of not more than three storeys, small single-storey non-residential buildings and annexes.",0,11_UK_DocA_Structure,
2.2 Section 2A gives general rules which mustbe observed in following Sections 2B and 2C.,0,12_UK_DocA_Structure,
Section 2A: Basic requirements for stability.,0,13_UK_DocA_Structure,
2A1 This section must be used in conjunctionwith sections 2B and 2C and its principles relateto all forms of lowrise residential buildings.,0,14_UK_DocA_Structure,
2A2 Adequate provision shall be made to ensure that the building is stable under the likely imposed and wind loading conditions.,0,15_UK_DocA_Structure,
"However, the need fordiagonal rafter bracing equivalent to thatrecommended in BS EN 199511:2004 with itsUK National Annex and additional guidance givenin BSI Published Document PD 66931:2012 andBS 81033:2009 for trussed rafter roofs shouldbe considered, especially for singlehipped andnonhipped roofs of greater than 40 pitch todetached houses.",0,16_UK_DocA_Structure,
House longhorn beetle.,0,17_UK_DocA_Structure,
"2B2 In the geographical areas specified in Table 1, softwood timber for roof constructionor fixed in the roof space, including ceiling joistswithin the void spaces of the roof, should beadequately treated to prevent infestation by thehouse longhorn beetle (Hylotrupes bajulus L.).",0,18_UK_DocA_Structure,
Section 2C: Thickness of walls in certainsmall buildings.,0,19_UK_DocA_Structure,
Application.,0,20_UK_DocA_Structure,
2C1 This section applies to the following building types: a. residential buildings of not more than three storeys; b. small single-storey non-residential buildings; c. small buildings forming annexes to residential buildings (including garages and outbuildings).,0,21_UK_DocA_Structure,
Wall types.,0,22_UK_DocA_Structure,
"2C2 Only the types of wall given in Table 2, which must extend to the full storey height, and parapet walls are considered in this section.",0,23_UK_DocA_Structure,
The use of this section.,0,24_UK_DocA_Structure,
"2C3 When using this section it should be noted that:a. this section must be used in conjunction with section 2A; b. if wall thickness is to be determined according to paragraphs 2C5 to 2C13, all appropriate design conditions given in this section must be satisfied; c. walls should comply with the relevant requirements of BS EN 19962:2006 with itsUK National Annex and additional guidance given in BSI Published Document PD6697:2010, except as regards the conditions given in paragraphs 2C4 and 2C14 to 2C38; d. in formulating the guidance of this section the worst combination of circumstances likely to arise was taken into account.",0,25_UK_DocA_Structure,
"If a requirement of this part is considered too onerous in aparticular case it may be appropriate to consider a minor departure on the basis of judgement and experience, or to show adequacy by calculation in respect of the aspect of the wall which is subject to thedeparture rather than for the entire wall; e. the guidance given is based upon the compressive strengths of bricks and blocksbeing not less than indicated in Tables 6 and 7.",0,26_UK_DocA_Structure,
Conditions relating to the building of which the wall forms part.,0,27_UK_DocA_Structure,
"This section applies only to buildings having proportions within the following parameters (see Diagrams 1 and 2): a. residential buildings of not more than three storeys: i. the maximum height of the building measured from the lowest finished ground level adjoining the building to the highest point of any wall or roof should not begreater than 15m, subject to the limits of paragraph 2C16.",0,28_UK_DocA_Structure,
the height of the building H should not exceed twice the least width of the building W1.,0,29_UK_DocA_Structure,
"the height of the wing H2 should not exceed twice the least width of the wing W2 where the projection P exceeds twice the width W2; b. small single-storey non-residential buildings: height H should not exceed 3m and W (beingthe greatest length or width of the building) should not exceed 9m (see Diagram 2), subject to the limits of paragraph 2C16; c. annexes: height H as variously indicated in Diagram 2 should not exceed 3m, subject tothe limits of paragraph 2C16.",0,30_UK_DocA_Structure,
"Solid external walls, compartment walls and separating walls in coursed brickwork or blockwork.",0,31_UK_DocA_Structure,
Solid walls constructed of coursed brickwork or blockwork should be at least as thick as 1/16 of the storey height.,1,32_UK_DocA_Structure,
"The thickness of walls constructedin uncoursed stone, flints, clunches, bricks orother burnt or vitrified material should not beless than 1.33 times the thickness determined by paragraph 2C6.",0,33_UK_DocA_Structure,
2C8 Cavity walls in coursed brickwork or blockwork.,0,34_UK_DocA_Structure,
All cavity walls should have leaves at least 90mm thick and cavities at least 50mm wide.,1,35_UK_DocA_Structure,
"The wall ties should have a horizontal spacing of 900mm and a vertical spacing of 450mm, or alternatively should be spaced such that the number of wall ties per square metre is not less than 2.5 ties/m2.",1,36_UK_DocA_Structure,
"Wall ties should also be provided, spaced not more than 300mm apart vertically, within a distance of 225mm from the vertical edges of all openings, movement joints and roof verges.",1,37_UK_DocA_Structure,
"For external walls, compartment walls and separating walls in cavity construction, the combined thickness of the two leaves plus 10mm should not be less than the thickness determined by paragraph 2C6 and Table 3 for a solid wall of the same height and length.",0,38_UK_DocA_Structure,
2C10 Internal loadbearing walls in brickwork or blockwork (except compartment walls orseparating walls).,0,39_UK_DocA_Structure,
"All internal loadbearing walls should have a thickness not less than: except for a wall in the lowest storey of a three storey building, carrying load from both upper storeys, which should have a thickness as determined by the equation or 140mm which ever is the greatest.",0,40_UK_DocA_Structure,
2C11 Parapet walls.,0,41_UK_DocA_Structure,
The minimum thickness and maximum height of parapet walls should beas given in Diagram 4.,0,42_UK_DocA_Structure,
2C13 Modular bricks and blocks.,0,43_UK_DocA_Structure,
"Where walls are constructed of bricks or blocks having modular dimensions, wall thicknesses prescribed in this section which derive from a dimension of brick or block may be reduced by an amount not exceeding the deviation from work size permitted by a British Standard relating to equivalent sized bricks or blocks made of the same material.",0,44_UK_DocA_Structure,
"Maximum floor area: The guidance of this section assumes that no floor enclosed by structural walls on all sides exceeds 70m2, and that no floor without a structural wall on one side exceeds 36m2.",0,45_UK_DocA_Structure,
Conditions relating to the wall.,0,46_UK_DocA_Structure,
"Maximum allowable length and height of the wall: This section does not deal with walls longer than 12m, measured from centre to centre of buttressing walls, piers or chimneys providing restraint, or with walls exceeding 12m in height (see also Table 3).",0,47_UK_DocA_Structure,
Rules of measurement for heights ofwalls and storeys: The height of a wall or astorey should be measured in accordance withthe rules in Diagram 8.,0,48_UK_DocA_Structure,
Construction materials and workmanship.,0,49_UK_DocA_Structure,
Wall ties: Wall ties should comply withBS EN 8451 and should be material references1 or 3 in BS EN 8451 Table A1 austenitic stainless steel.,0,50_UK_DocA_Structure,
Wall ties should be selected in accordancewith Table 5 of this .,0,51_UK_DocA_Structure,
Masonry units: Walls should be properly bonded and solidly put together with mortar and constructed of masonry units conforming to: a. clay bricks or blocks to BS EN 7711; b. calcium silicate bricks or blocks to BS EN7712; c. concrete bricks or blocks to BS EN 7713 orBS EN 7714; d. manufactured stone to BS EN 7715; e. square dressed natural stone to the appropriate requirements described inBS EN 7716.,0,52_UK_DocA_Structure,
"Compressive strength of masonry units:Minimum compressive strength requirements for masonry units according to BS EN Standards are given in Diagram 9, where the masonry units indicated for Conditions A, B and C should have declared compressive strengths of notless than the values given in Table 6.",0,53_UK_DocA_Structure,
Mortar: Mortar should be: a. one of the following: i. Mortar designation (iii) according toBS EN 199611:2005 with its UKNational Annex.,0,54_UK_DocA_Structure,
Vertical loading on walls should be distributed.,1,55_UK_DocA_Structure,
Differences in level of ground or other solid construction between one side of the wall and the other should be less than 4 times the thickness of the wall as shown in Diagram 11.,0,56_UK_DocA_Structure,
"Walls should not be subjected to lateral load other than from wind, and that covered by paragraph 2C24(b).",0,57_UK_DocA_Structure,
The combined dead and imposed load should not exceed 70kN/m at base of wall (see Diagram 11).,0,58_UK_DocA_Structure,
"The ends of every wall should be bonded or otherwise securely tied throughout their full height to a buttressing wall, pier or chimney.",1,59_UK_DocA_Structure,
2C26 Buttressing walls.,0,60_UK_DocA_Structure,
If the buttressing wall is not itself a supported wall its thickness T2 should not be less than: a. half the thickness required by this section foran external or separating wall of similar height and length less 5mm.,0,61_UK_DocA_Structure,
75mm if the wall forms part of a dwelling house and does not exceed 6m in total height and 10m in length; and c. 90mm in other cases.,0,62_UK_DocA_Structure,
"The length of the buttressing wall should be at least 1/6 of the overall height of the supported wall and be bonded or securely tied to the supporting wall and at the other end to a buttressing wall, pier or chimney.",1,63_UK_DocA_Structure,
The size of any opening in the buttressing wall should be restricted as shown in Diagram 12.,0,64_UK_DocA_Structure,
"piers should measure at least 3 times the thickness of the supported wall and chimneys twice the thickness, measured at right angles to the wall.",1,65_UK_DocA_Structure,
"Piers should have a minimum width of 190mm (see Diagram 13); b. the sectional area on plan of chimneys (excluding openings for fire places and flues) should be not less than the area required for a pier in the same wall, and the overall thickness should not be less than twice the required thickness of the supported wall (see Diagram 13).",0,66_UK_DocA_Structure,
Construction over openings and recesses should be adequately supported.,1,67_UK_DocA_Structure,
"No openings should be provided in walls below ground floor except for small holes for services and ventilation, etc. which should be limited
to a maximum area of 0.1m² at not less than 2m centres.",1,68_UK_DocA_Structure,
"The roof is braced at rafter level, horizontally at eaves level and at the base of any gable by roof decking, rigid sarking or diagonal timber bracing, as appropriate, in accordance with BS EN 199511:2004 with its UK National Annex and additional guidance given in BSI Published Document PD 66931:2012 or BS81033:2009.",0,69_UK_DocA_Structure,
"2C35 Walls should be strapped to floors above ground level, at intervals not exceeding 2m and as shown in Diagram 15, by tension straps conforming to BS EN 8451.",0,70_UK_DocA_Structure,
"Tension straps need not be provided: a. in the longitudinal direction of joists in houses of not more than 2 storeys, if the joists areat not more than 1.2m centres and have at least 90mm bearing on the supported walls or 75mm bearing on a timber wall plate at each end, and b. in the longitudinal direction of joists in houses of not more than 2 storeys, if the joists are carried on the supported wall by joist hangers in accordance with BS EN 8451of the restraint type described by additional guidance given in BSI Published DocumentPD 6697:2010 and shown in Diagram 15(c), and are incorporated at not more than 2m centres, and c. when a concrete floor has at least 90mm bearing on the supported wall (see Diagram15(d)), and d. where floors are at or about the same levelon each side of a supported wall, and contact between the floors and wall is either continuous or at intervals not exceeding 2m.",0,71_UK_DocA_Structure,
"Where contact is intermittent, the points of contact should be in line or nearly in line on plan (see Diagram 15(e)).",0,72_UK_DocA_Structure,
2C36 Gable walls should be strapped to roofs as shown in Diagram 16(a) and (b) by tension straps as described in 2C35.,0,73_UK_DocA_Structure,
Vertical strapping at least 1m in length should be provided at eaves level at intervals not exceeding 2m as shown in Diagram 16(c) and (d).,0,74_UK_DocA_Structure,
"Vertical strapping may be omitted if the roof: a. has a pitch of 15 or more, and b. is tiled or slated, and c. is of a type known by local experience to be resistant to wind gusts, and d. has main timber members spanning onto the supported wall at not more than 1.2m centres.",1,75_UK_DocA_Structure,
Interruption of lateral support.,0,76_UK_DocA_Structure,
"Where an opening in a floor or roof for a stairway or the like adjoins a supported wall and interrupts the continuity of lateral support, the following conditions should be satisfied for the purposes of Section 2C: a. the maximum permitted length of the openingis to be 3m, measured parallel to the supported wall, and b. where a connection is provided by means other than by anchor, this should be provided throughout the length of each portion of the wall situated on each side of the opening, and c. where a connection is provided by mild steel anchors, these should be spaced closer than2m on each side of the opening to providethe same number of anchors as if there were no opening, and d. there should be no other interruption of lateral support.",0,77_UK_DocA_Structure,
The floor area of the building or annexe does not exceed 36m.,1,78_UK_DocA_Structure,
Where the floor area of the building or annexe exceeds 10m the walls have a mass of not less than 130kg/m.,1,79_UK_DocA_Structure,
The maximum length or width of the buildingor annexe does not exceed 9m.,1,80_UK_DocA_Structure,
The height of the building or annexe does not exceed the lower value derived from Diagram 2.,0,81_UK_DocA_Structure,
(ii) Size and location of openings.,0,82_UK_DocA_Structure,
One or two major openings not more than 2.1min height are permitted in one wall of the building or annexe only.,1,83_UK_DocA_Structure,
The width of a single opening or the combined width of two openings should not exceed 5m.,1,84_UK_DocA_Structure,
Walls which do not contain a major opening but exceed 2.5m in length or height should be bonded or tied to piers for their full height at not more than 3m centres as shown in Diagram 18a.,0,85_UK_DocA_Structure,
"Where ties are used to connect piers to walls they should be flat, 20mm x 3mm in cross section, be in stainless steel in accordance with paragraph 2C19, be placed in pairs and be spaced at not more than 300mm centre vertically.",1,86_UK_DocA_Structure,
" Walls should be tied horizontally at no more than2m centres to the roof structure at eaves level, base of gables and along roof slopes as shown in Diagram 19 with straps fixed in accordance with paragraphs 2C35 and 2C36.",0,87_UK_DocA_Structure,
"Where a chimney is not adequately supported by ties or securely restrained in anyway, its height if measured from the highest point of intersection with the roof surface, gutter, etc. should not exceed 4.5W, provided the density of the masonry is greater than 1500kg/m3, where: W is the least horizontal dimension of the chimney measured at the same point of intersection, and H is measured to the top of any chimney pot or other flue terminal (see Diagram 20).",0,88_UK_DocA_Structure,
Section 2E: Foundations of plain concrete.,0,90_UK_DocA_Structure,
Conditions relating to the ground.,0,91_UK_DocA_Structure,
There should not be: a. non-engineered fill (as described in BREDigest 427) or wide variation in ground conditions within the loaded area; nor b. weaker or more compressible ground at such a depth below the foundation as could impair the stability of the structure.,0,92_UK_DocA_Structure,
Design provisions.,0,93_UK_DocA_Structure,
The following design provisions relate to foundations: a. the foundations should be situated centrally under the wall; b. for foundations in chemically aggressive soil conditions guidance in BS 85001 and BRE Special Digest 1 should be followed.,0,94_UK_DocA_Structure,
"In non-aggressive soils, concrete should be composed of Portland cement to BS EN1971 and 2 and fine and coarse aggregate conforming to BS EN 12620 and the mix should comply with one of the following recommendations: i. in proportion of 50kg of Portland cement to not more than 200kg (0.1m3) of fine aggregate and 400kg (0.2m3) of coarse aggregate.",0,95_UK_DocA_Structure,
"grade ST2 or grade GEN I concrete toBS 85002; c. minimum thickness T of concrete foundation should be 150mm or P, whichever is the greater, where P is derived using Table 10and Diagram 23.",0,96_UK_DocA_Structure,
"For trench fill foundations the overlap should be twice the height of the step or 1m, whichever is greater; e. steps in foundations should not be of greater height than the thickness of the foundation(see Diagram 21); f. foundations for piers, buttresses and chimneys should project as indicated in Diagram 22 and the projection X should never be less than the value of P where there is no local thickening of the wall.",0,97_UK_DocA_Structure,
FOUNDATIONS OF PLAIN CONCRETE A1/2.,0,98_UK_DocA_Structure,
"In clay soils subject to volume change on drying (shrinkable clays, with Modified Plasticity Index greater than or equal to 10), strip foundations should be taken to a depth where anticipated ground movements will not impair the stability of any part of the building taking due consideration of the influence of vegetation and trees on the ground.",1,99_UK_DocA_Structure,
An acceptable level of safety can be achieved by different means depending on the type and location of the cladding.,0,100_UK_DocA_Structure,
"This shall comprise both vertical supportand horizontal restraint, andc. provision is made, where necessary, toaccommodate differential movement of thecladding and the supporting structure of thebuilding, andd. the cladding and its fixings (includingany support components) are of durablematerials; the design life of the fixings beingnot less than that of the cladding.",0,101_UK_DocA_Structure,
Fixings shall be corrosion resistant and of a material type appropriate for the local environment.,1,102_UK_DocA_Structure,
Loading.,0,103_UK_DocA_Structure,
Wind loading on the cladding should be derived from BS EN 199114:2005 with its UK National Annex with due consideration given to local increases in wind suction arising from funnelling of the wind through gaps between buildings.,0,104_UK_DocA_Structure,
"Where the cladding is required to support other fixtures, e.g. handrails, and fittings, e.g. antennae and signboards, account should be taken of the loads and forces arising from such fixtures and fittings.",0,105_UK_DocA_Structure,
"Where the wall cladding is required to function as pedestrian guarding to stairs, ramps, vertical drops of more than 600mm in dwellings or more than the height of two risers (or 380mm if not part of a stair) in other buildings, or as a vehicle barrier, then account should be taken of the additional imposed loading, as stipulated in K, Protection from falling,collision and impact.",0,108_UK_DocA_Structure,
Fixings.,0,109_UK_DocA_Structure,
The selection of fixings for supporting cladding should be determined from a consideration of the proven performance of the fixing and the risks associated with the particular application.,0,110_UK_DocA_Structure,
In this regard applications should be designated as being either non redundant (wherethe failure of a single fixing could lead to the detachment of the cladding) or redundant (where failure or excessive movement of one fixing results in load sharing by adjacent fixings) and the required reliability of the fixing determined accordingly.,0,111_UK_DocA_Structure,
"The strength of fixings should be derived from tests using materials representative of the material into which the fixing is to be anchored, taking account of any inherent weaknesses that may affect the strength of the fixing, e.g. cracks in concrete due to shrinkage and flexure, or voids in masonry construction.",1,112_UK_DocA_Structure,
